rent,holiday,holiday_before,holiday_after,ave_temper,low_temper,high_temper,ave_rain,rain_exist,ave_wind
9000,0,0,0,18.1,13,24.4,0,0,0.9
43500,0,0,0,19.5,13.9,24.8,0,0,0.1
36000,0,0,0,21.1,16.4,26.4,0,0,0.4
22000,0,1,0,21.2,17.6,25.7,0,0,0.3
49000,1,1,0,21.9,17.9,27.1,0,0,0
38500,1,0,1,20.6,16.6,26.5,0,0,1
22500,0,0,1,20.7,15.4,26.9,0,0,0.8
13500,0,0,0,21.7,16.5,26.7,0,0,0.9
53500,0,1,0,21.4,20.1,23.9,23,1,1.4
53500,1,0,0,21.4,18.6,26.4,10.5,1,1.6
32000,0,1,1,21,16.9,25.9,0,0,0.8
7500,1,1,0,18.5,13.9,21.4,0,0,1.4
22500,1,0,1,16.9,12,20.6,0,0,1
26000,0,0,1,14.5,12.8,17.6,26,1,0.9
26000,0,1,0,14.4,9.4,19.2,0,0,1.5
38500,1,0,0,12.3,7.1,18.5,0,0,0.7
37500,0,0,1,14.2,9.7,18.7,0,0,0.3
26000,0,1,0,17.6,12.1,23.1,0,0,1.1
29000,1,1,0,17.1,13.5,21.5,0,0,2.6
27000,1,0,1,15.7,11.2,20.6,0,0,0.9
24000,0,0,1,13.9,8.7,18.3,0,0,1.3
27000,0,0,0,13.1,7.9,18.8,0,0,1
21500,0,0,0,13.7,8.9,18.5,0,0,0.5
25500,0,0,0,13.9,10.3,19,0,0,0.6
29000,0,1,0,15.6,10.8,21.1,0,0,0.9
37500,1,1,0,15.6,11.5,21,0,0,0.6
27500,1,0,1,14.7,11.4,19.6,0,0,0.4
21000,0,0,1,15.6,10.5,21.7,0,0,0.2
21000,0,0,0,16.4,11.9,21.4,0,0,0.2
30500,0,0,0,15.9,13.2,19.5,0,0,0.2
35500,0,0,0,17.9,13.5,21.5,0,0,1.5
22500,0,1,0,16.4,12.3,21.2,0,0,1
21000,1,1,0,9.8,7.2,13.7,0,0,1.5
7500,1,0,1,10,4.2,15.6,0,0,0.9
7500,0,0,1,12.4,6.3,16.7,2,1,1.6
27000,0,0,0,11.5,7.4,17,0.5,1,0.9
28500,0,0,0,10,4.7,15.5,0,0,0.6
18500,0,0,0,14.3,8.3,18.7,0,0,1
28500,0,1,0,13.3,9.9,17.9,0,0,0.7
46500,1,1,0,13.1,7.4,18.6,0,0,0.5
38000,1,0,1,13.4,9.1,19.1,0,0,0.8
56000,0,0,1,11.9,8,17.2,0,0,0.6
40500,0,0,0,11.1,7.6,16.4,0,0,0.6
40500,0,0,0,10.4,5.3,15.8,0,0,0.6
34000,0,0,0,8.8,4.3,12.6,0,0,1.4
37000,0,1,0,5.8,0.6,11.3,0,0,0.9
34000,1,1,0,8.3,2.6,14.6,0,0,0.8
18500,1,0,1,10,5.6,14.7,16,1,1.2
18500,0,0,1,10.9,7.2,14.8,1,1,1.3
32500,0,0,0,8.9,4.6,14.5,0,0,0.7
24000,0,0,0,7.7,4.1,11.8,13,1,2.1
41000,0,0,0,1.3,-0.7,4.3,0,0,1.9
24000,0,1,0,6.7,1.3,8.5,24,1,1.6
41000,1,1,0,6.1,3.5,11.1,0,0,0.3
29500,1,0,1,9.1,5,13.2,41,1,1.1
29500,0,0,1,5.4,1.5,13.6,17,1,2.3
48000,0,0,0,1.1,-2.5,3.8,0,0,1.6
7500,0,0,0,0.3,-3.9,4.5,0,0,0.8
16000,0,0,0,4.5,-1.8,9.2,0,0,0.6
7500,0,1,0,8.7,3,15.3,0,0,0.6
49500,1,1,0,11.4,6.1,16.5,0,0,1
30000,1,0,1,9.9,5.1,17.5,5,1,1.4
31000,0,0,1,2,-0.4,5.2,0,0,1.4
20000,0,0,0,6.7,1.1,12.5,0,0,0.9
30000,0,0,0,3.7,0.2,7,0,0,1.9
29500,0,0,0,3.5,-0.6,9,0,0,0.6
000,0,1,0,1.5,-2.4,6,0,0,1.1
30000,1,1,0,4.2,-1.7,9.9,0,0,0.4
40000,1,0,1,4.8,2.3,6.8,5,1,0.5
13000,0,0,1,0.7,-2.6,3.6,0,0,2.1
7500,0,0,0,0.7,-5.2,4.4,2,1,0.9
29000,0,0,0,1.6,-2.4,6.9,0,0,0.8
25000,0,0,0,-3.7,-8.7,0.6,0,0,2.2
23500,0,1,0,-6.7,-12.4,-1.8,0,0,0.7
19500,1,1,0,-2.2,-7.3,1.8,0,0,0.3
000,1,0,1,-1.4,-5.6,3.8,0,0,0.2
000,0,0,1,4.3,-2.3,8.5,0,0,1.3
19500,0,0,0,8.3,4.4,10.9,2,1,1.5
14500,0,0,0,6.8,1.1,10,0,0,2.6
23000,0,0,0,-0.4,-3,2.6,0,0,1.6
23000,0,1,0,2.2,-4.3,6,1,1,2
51000,1,1,0,2.5,0.1,6.8,0,0,1.7
22500,1,0,1,4.4,-1.2,10.8,0,0,0.9
24000,0,0,1,7.8,1.3,13,0,0,0.8
